Deal Date,Security Code,Company,Client Name,Deal Type,Quantity,Price
19/12/2025,543290,PGINVIT,CPP INVESTMENT BOARD PRIVATE HOLDINGS (4) INC,S,91844500,85.58
19/12/2025,543290,PGINVIT,ICICI PRUDENTIAL MUTUAL FUND,P,22628427,85.50
19/12/2025,540190,FRANKLININD,PARNIT VENTURES PRIVATE LIMITED,S,16615220,0.65
19/12/2025,537800,MANGIND,RATHOD MANOJ CHHAGANLAL HUF,S,16189942,0.90
19/12/2025,543290,PGINVIT,ICICI PRUDENTIAL MUTUAL FUND,P,15787275,85.50
19/12/2025,540190,FRANKLININD,PRAS INVESTMENT PRIVATE LIMITED,S,10736442,0.65
19/12/2025,537800,MANGIND,NIKUNJ JAGADISHCHANDRA PUROHIT,P,9639840,0.90
19/12/2025,543290,PGINVIT,HDFC MUTUAL FUND,P,7767889,85.50
19/12/2025,511447,SYLPH,BIMAL KUMAR,P,7575703,0.78
19/12/2025,511447,SYLPH,BON LON SECURITIES LTD,P,6386366,0.80
19/12/2025,511447,SYLPH,HARSHIT FINVEST PVT LTD,P,6372772,0.77
19/12/2025,511447,SYLPH,BIMAL KUMAR,S,6075703,0.78
19/12/2025,540693,SHISHIND,GREENX WEALTH MULTIHORIZONS OPPORTUNITY FUND,S,6000000,14.11
19/12/2025,540190,FRANKLININD,PARNIT VENTURES PRIVATE LIMITED,P,5563177,0.64
19/12/2025,540693,SHISHIND,NEO APEX SHARE BROKING SERVICES LLP,S,3424856,14.16
19/12/2025,540693,SHISHIND,NEO APEX SHARE BROKING SERVICES LLP,P,3424856,14.04
19/12/2025,512441,ENBETRD,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,P,3203513,0.45
19/12/2025,512591,PULSRIN,TATAD NAYAN GAUTAMBHAI,S,2652468,1.43
19/12/2025,540693,SHISHIND,ISHAAN TRADEFIN LLP,P,2300000,14.51
19/12/2025,540693,SHISHIND,ISHAAN TRADEFIN LLP,S,2300000,15.25
19/12/2025,540693,SHISHIND,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,S,2250000,17.00
19/12/2025,540693,SHISHIND,NEO APEX VENTURE LLP,S,2076234,15.11
19/12/2025,539559,DDIL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,P,2044318,7.50
